example input data to run RothC for a number of years
clay and depth are only needed once, other data is monthly jan-dec 
clay	depth	iom	nsteps			
13.0	25.0	3.0041	840
year	modern	Tmp	Rain	Evap	C inp	FYM	PC	DPM/RPM
1	100	3.73	52.2	6.6	0	0	1	1.44
1	100	3.08	42.9	17.3	0	0	1	1.44
1	100	5.49	35.2	40.7	0	0	1	1.44
1	100	7.4	52	70.5	0	0	1	1.44
1	100	10.94	64.9	103.5	0	0	1	1.44
1	100	14.4	46.3	117.3	0	0	1	1.44
1	100	16.28	63.5	130.1	0	0	1	1.44
1	100	16.24	60.6	106.9	1.74	0	1	1.44
1	100	13.78	58.8	61.9	0	0	0	1.44
1	100	9.51	63.4	29.5	0	0	1	1.44
1	100	6.22	72.5	8.8	0	0	1	1.44
1	100	4.09	60.9	3.9	0	0	1	1.44
1939	97.5	3.99	114.5	8.2	0	0	1	1.44
1939	97.5	5.37	30.7	17.2	0	0	1	1.44
1939	97.5	5.46	51.6	43.1	0	0	1	1.44
1939	97.5	8.3	90.3	68.2	0	0	1	1.44
1939	97.5	10.53	40.4	99.3	0	0	1	1.44
1939	97.5	13.55	74.9	112.5	0	0	1	1.44
1939	97.5	15.56	59.8	128.9	0	0	1	1.44
1939	97.5	16.06	96.4	104.4	1.4643	0	1	1.44
1939	97.5	14.07	25.2	64.2	0	0	0	1.44
1939	97.5	7.91	103.6	27.7	0	0	0	1.44
1939	97.5	8.47	105.4	12.9	0	0	1	1.44
1939	97.5	2.36	58	3.6	0	0	1	1.44
1940	97.5	-2.6	56.1	2.4	0	0	1	1.44
1940	97.5	1.61	52.9	18.2	0	0	1	1.44
1940	97.5	5.97	79.1	47.1	0	0	1	1.44
1940	97.5	8.52	69.7	78.9	0.0571	0	1	1.44
1940	97.5	12.14	45.8	105.3	0.0571	0	1	1.44
1940	97.5	15.66	35.4	120.3	0.0571	0	1	1.44
1940	97.5	14.77	82.2	124.7	0.0571	0	1	1.44
1940	97.5	15.47	6	111.3	0.0571	0	1	1.44
1940	97.5	12.62	29.7	62.9	0.2854	0	1	1.44
1940	97.5	8.8	81.4	28.1	0	0	1	1.44
1940	97.5	6.39	189.3	6	0	0	1	1.44
1940	97.5	3.03	46.2	3	0	0	1	1.44
