example input data to run RothC for a number of years
clay and depth are only needed once, other data is monthly jan-dec 
clay	depth	iom	nsteps			
47.0	25.0	1.6095	252
year	modern	Tmp	Rain	Evap	C inp	FYM	PC	DPM/RPM
1	100	11.3	26.4	140.9	0	0	1	1.44
1	100	13.0	32.8	159.5	0	0	1	1.44
1	100	15.1	30.0	228.4	0	0	1	1.44
1	100	17.5	22.6	264.5	0	0	1	1.44
1	100	20.6	19.4	319.7	0.82	0	1	1.44
1	100	24.2	6.1	374.3	0	0	0	1.44
1	100	27.9	2.0	415.8	0	0	0	1.44
1	100	28.1	4.5	385.8	0	0	0	1.44
1	100	24.4	10.6	285.2	0	0	0	1.44
1	100	20.8	19.3	227.8	0	0	0	1.44
1	100	15.4	39.2	154.2	0	0	0	1.44
1	100	12.6	18.2	134.8	0	0	1	1.44
2003	107.9	11.6	0.2	149.3	0	0	1	1.44
2003	107.9	14.2	18.0	193.3	0	0	1	1.44
2003	107.9	15.2	24.8	251.2	0	0	1	1.44
2003	107.9	17.0	24.2	262.8	0	0	1	1.44
2003	107.9	18.3	19.0	284.4	0.82	0	1	1.44
2003	107.9	26.4	26.4	412.8	0	0	0	1.44
2003	107.9	28.3	0.0	430.8	0	0	0	1.44
2003	107.9	28.1	0.0	387.0	0	0	0	1.44
2003	107.9	26.6	0.0	226.0	0	0	0	1.44
2003	107.9	19.7	34.2	207.1	0	0	0	1.44
2003	107.9	15.1	57.6	169.8	0	0	0	1.44
2003	107.9	12.6	26.0	134.4	0	0	1	1.44
2004	107.6	11.6	0.2	149.3	0	0	1	1.44
2004	107.6	14.2	18.0	193.3	0	0	1	1.44
2004	107.6	15.2	24.8	251.2	0	0	1	1.44
2004	107.6	17.0	24.2	262.8	0	0	1	1.44
2004	107.6	18.3	19.0	284.4	0.82	0	1	1.44
2004	107.6	26.4	26.4	412.8	0	0	0	1.44
2004	107.6	28.3	0.0	430.8	0	0	0	1.44
2004	107.6	28.1	0.0	387.0	0	0	0	1.44
2004	107.6	25.8	1.0	310.3	0	0	0	1.44
2004	107.6	21.3	33.0	234.8	0	0	0	1.44
2004	107.6	15.2	16.4	161.3	0	0	0	1.44
2004	107.6	10.8	18.4	123.6	0	0	0	1.44
2005	107.3	10.5	0.6	159.0	0	0	0	1.44
2005	107.3	11.1	27.6	161.1	0	0	0	1.44
2005	107.3	17.0	18.2	257.0	0	0	0	1.44
2005	107.3	18.9	0.0	328.4	0	0	0	1.44
2005	107.3	22.6	0.6	377.5	0	0	0	1.44
2005	107.3	26.8	6.6	399.5	0	0	0	1.44
2005	107.3	27.4	0.0	424.8	0	0	0	1.44
2005	107.3	28.4	2.2	408.6	0	0	0	1.44
2005	107.3	24.3	0.2	322.0	0	0	0	1.44
2005	107.3	21.5	27.0	233.0	0	0	0	1.44
2005	107.3	15.1	10.4	160.6	0	0	0	1.44
2005	107.3	12.2	26.8	139.9	0	0	1	1.44
2006	107.1	9.4	83.0	117.0	0	0	1	1.44
2006	107.1	11.6	31.2	134.4	0	0	1	1.44
2006	107.1	16.0	0.2	273.2	0	0	1	1.44
