     Year,  Month, DPM_t_C_ha, RPM_t_C_ha, Bio_t_C_ha, Hum_t_C_ha, IOM_t_C_ha, SOC_t_C_ha, CO2_t_C_ha,  deltaC
        0,      0,     0.0000,     0.0000,     0.0000,     0.0000,     3.0041,     3.0041,     0.0000, -998.02
        1,  20916,     0.1606,     5.8208,     0.8717,    32.6202,     3.0041,    42.4774,     0.0000,  -84.33
    1939,      12,     0.0796,     5.5522,     0.8402,    32.5776,     3.0041,    42.0538,     1.8880,  -85.63
    1940,      12,     0.1075,     5.3021,     0.7979,    32.5205,     3.0041,    41.7321,     2.7806,  -86.49
    1941,      12,     0.1266,     5.0717,     0.7634,    32.4460,     3.0041,    41.4117,     4.4275,  -87.49
    1942,      12,     0.0771,     4.9019,     0.7448,    32.3908,     3.0041,    41.1187,     5.8583,  -88.35
    1943,      12,     0.1273,     4.6825,     0.7092,    32.2982,     3.0041,    40.8213,     7.2979,  -89.24
    1944,      12,     0.1285,     4.6393,     0.7054,    32.2433,     3.0041,    40.7205,     8.7602,  -89.75
    1945,      12,     0.0886,     4.4632,     0.6834,    32.1809,     3.0041,    40.4201,     9.7005,  -90.76
    1946,      12,     0.1212,     4.1132,     0.6318,    32.0181,     3.0041,    39.8884,    11.3877,  -92.41
    1947,      12,     0.1447,     4.1421,     0.6355,    31.9695,     3.0041,    39.8959,    12.4416,  -92.96
    1948,      12,     0.1365,     3.8859,     0.6035,    31.7944,     3.0041,    39.4244,    14.3970,  -94.50
    1949,      12,     0.1502,     4.1613,     0.6479,    31.7683,     3.0041,    39.7318,    16.0638,  -94.75
    1950,      12,     0.3753,     4.5132,     0.6795,    31.7210,     3.0041,    40.2931,    18.1223,  -94.17
    1951,      12,     0.1120,     4.2506,     0.6663,    31.6276,     3.0041,    39.6606,    20.0247,  -95.41
    1952,      12,     0.0701,     4.0564,     0.6412,    31.5196,     3.0041,    39.2915,    21.5682,  -96.25
    1953,      12,     0.0984,     4.0359,     0.6357,    31.4392,     3.0041,    39.2134,    22.9996,  -96.62
    1954,      12,     0.0555,     4.2583,     0.6780,    31.4183,     3.0041,    39.4142,    24.8899,  -96.40
    1955,      12,     0.4679,     5.0533,     0.7545,    31.4753,     3.0041,    40.7551,    26.5710,  -93.38
    1956,      12,     0.9838,     5.4059,     0.7490,    31.4365,     3.0041,    41.5793,    28.3446,  -90.18
